Serial Number:,PSY1M409
APP Serial #:,03000AD3
Head Serial #:,2270
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,04:51:33,25.79,1.085,4.270,-0.69,1.00,-3.80,0.714,0.14,8.173,4.15,24.60 ,present ,USB ,USB ,
Serial Number:,PSY1M409
APP Serial #:,03000AD3
Head Serial #:,2270
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,ES42 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
29/04/2022,04:00:00,-0.65,1.816,0.000,0.00,0.98,-4.64,-5.349,0.26,8.755,4.17,1.80 ,present ,23.58 ,27.90 ,
29/04/2022,04:30:00,-0.55,1.177,0.000,0.00,0.98,-4.64,-4.354,0.16,8.755,4.17,1.50 ,present ,23.55 ,28.20 ,
29/04/2022,05:00:00,-0.52,1.483,0.000,0.00,0.98,-4.64,-4.684,0.21,8.755,4.17,1.50 ,present ,23.59 ,28.80 ,
29/04/2022,05:30:00,-0.63,1.636,0.000,0.00,0.98,-4.64,-4.210,0.23,8.755,4.17,1.50 ,present ,23.48 ,28.20 ,
29/04/2022,06:00:00,-0.69,1.541,0.000,0.00,0.98,-4.64,-3.725,0.22,8.755,4.17,1.50 ,present ,23.44 ,28.20 ,
29/04/2022,06:30:00,0.00,0.908,0.000,0.00,0.98,-4.64,-3.382,0.13,8.755,4.15,-1.50 ,not present ,0.00 ,0.00 ,
29/04/2022,07:00:00,1.24,0.455,0.000,0.00,0.98,-4.64,-2.481,0.06,8.755,4.14,-3.10 ,not present ,0.00 ,0.00 ,
29/04/2022,07:30:00,1.40,0.047,0.000,0.00,0.98,-4.64,-1.763,0.00,8.755,4.14,-3.30 ,not present ,0.00 ,0.00 ,
29/04/2022,08:00:00,1.31,-0.321,0.000,0.00,0.98,-4.64,-1.436,-0.04,8.755,4.13,-3.00 ,not present ,0.00 ,0.00 ,
29/04/2022,08:30:00,1.05,-0.411,0.000,0.00,0.98,-4.64,-1.027,-0.05,8.755,4.12,-2.90 ,not present ,0.00 ,0.00 ,
29/04/2022,09:00:00,0.67,-0.616,0.000,0.00,0.98,-4.64,-0.596,-0.08,8.755,4.11,-2.09 ,not present ,0.00 ,0.00 ,
29/04/2022,09:30:00,0.19,-0.778,0.000,0.00,0.98,-4.64,0.002,-0.11,8.755,4.11,-1.40 ,not present ,0.00 ,0.00 ,
29/04/2022,10:00:00,-0.43,-1.587,0.000,0.00,0.98,-4.64,2.301,-0.22,8.755,4.10,-0.10 ,not present ,0.00 ,0.00 ,
29/04/2022,10:30:00,1.76,-7.508,6.234,-4.47,0.98,-4.64,26.585,-1.07,8.755,4.10,1.60 ,not present ,0.00 ,0.00 ,
29/04/2022,11:00:00,5.62,-6.084,7.045,-3.84,0.98,-4.64,22.269,-0.87,8.755,4.09,4.00 ,not present ,0.00 ,0.00 ,
29/04/2022,11:30:00,10.15,-6.877,16.306,-6.64,0.98,-4.64,26.620,-0.98,8.751,4.09,6.20 ,not present ,0.00 ,0.00 ,
29/04/2022,12:00:00,11.43,-4.317,10.445,-3.95,0.98,-4.64,13.879,-0.61,8.700,4.08,9.00 ,not present ,0.00 ,0.00 ,
29/04/2022,12:30:00,11.39,-2.860,7.756,-2.83,0.98,-4.64,9.462,-0.40,8.704,4.07,8.89 ,not present ,0.00 ,0.00 ,
29/04/2022,13:00:00,10.59,-1.456,5.049,-1.77,0.98,-4.64,4.613,-0.20,8.735,4.07,9.39 ,not present ,0.00 ,0.00 ,
29/04/2022,13:30:00,11.02,-1.874,5.560,-1.98,0.98,-4.64,5.475,-0.26,8.716,4.06,8.80 ,not present ,0.00 ,0.00 ,
29/04/2022,14:00:00,12.46,-2.984,7.905,-2.78,0.98,-4.64,8.047,-0.42,8.662,4.06,9.50 ,not present ,0.00 ,0.00 ,
29/04/2022,14:30:00,13.43,-1.988,8.068,-2.59,0.98,-4.64,6.759,-0.28,8.623,4.05,9.70 ,not present ,0.00 ,0.00 ,
29/04/2022,15:00:00,15.10,-2.341,8.382,-2.58,0.98,-4.64,6.843,-0.32,8.559,4.05,10.90 ,not present ,0.00 ,0.00 ,
29/04/2022,15:30:00,15.23,-1.735,4.967,-1.48,0.98,-4.64,3.263,-0.24,8.555,4.05,11.90 ,not present ,0.00 ,0.00 ,
29/04/2022,16:00:00,15.58,-1.797,6.361,-1.87,0.98,-4.64,4.000,-0.25,8.544,4.05,11.40 ,not present ,0.00 ,0.00 ,
29/04/2022,16:30:00,16.01,-1.521,7.283,-2.07,0.98,-4.64,5.614,-0.21,8.525,4.04,11.50 ,not present ,0.00 ,0.00 ,
29/04/2022,17:00:00,17.02,-2.754,9.217,-2.70,0.98,-4.64,7.163,-0.38,8.488,4.03,12.30 ,not present ,0.00 ,0.00 ,
29/04/2022,17:30:00,16.97,-2.274,6.892,-2.00,0.98,-4.64,4.475,-0.31,8.491,4.01,12.40 ,not present ,0.00 ,0.00 ,
29/04/2022,18:00:00,16.72,-1.231,4.214,-1.13,0.98,-4.64,1.837,-0.17,8.499,4.00,11.70 ,not present ,0.00 ,0.00 ,
29/04/2022,18:30:00,15.92,-0.377,0.742,-0.05,0.98,-4.64,-2.405,-0.05,8.529,3.99,11.60 ,not present ,0.00 ,0.00 ,
29/04/2022,19:00:00,15.70,-0.464,0.000,0.00,0.98,-4.64,-2.903,-0.06,8.536,3.97,11.70 ,not present ,0.00 ,0.00 ,
29/04/2022,19:30:00,15.74,-0.575,0.569,-0.03,0.98,-4.64,-2.033,-0.08,8.536,3.97,11.50 ,not present ,0.00 ,0.00 ,
29/04/2022,20:00:00,14.37,0.452,0.000,0.00,0.98,-4.64,-4.900,0.06,8.589,3.96,10.30 ,not present ,0.00 ,0.00 ,
29/04/2022,20:30:00,13.30,0.759,0.000,0.00,0.98,-4.64,-5.699,0.10,8.627,3.95,9.50 ,not present ,0.00 ,0.00 ,
29/04/2022,21:00:00,11.22,1.454,0.000,0.00,0.98,-4.64,-6.892,0.20,8.708,3.95,7.50 ,present ,24.84 ,71.40 ,
29/04/2022,21:30:00,10.12,1.234,0.000,0.00,0.98,-4.64,-7.321,0.17,8.751,4.12,24.20 ,present ,24.13 ,116.10 ,
